Light,Moisture,CO2,Datetime
794,260,0,2023-07-13 20:17:41.107038
791,259,0,2023-07-13 20:17:41.186871
787,264,0,2023-07-13 20:17:41.683323
794,260,0,2023-07-13 20:17:41.770363
796,259,0,2023-07-13 20:17:42.018451
783,264,0,2023-07-13 20:17:42.529930
794,261,0,2023-07-13 20:17:42.561488
789,260,0,2023-07-13 20:17:42.592936
789,263,0,2023-07-13 20:17:42.623482
794,264,0,2023-07-13 20:17:42.655621
794,261,0,2023-07-13 20:17:42.685849
794,261,0,2023-07-13 20:17:42.717144
794,260,0,2023-07-13 20:17:42.746378
794,260,0,2023-07-13 20:17:42.898777
796,259,0,2023-07-13 20:17:43.042783
791,259,0,2023-07-13 20:17:43.130070
794,259,0,2023-07-13 20:17:43.234094
789,260,0,2023-07-13 20:17:43.314832
788,263,0,2023-07-13 20:17:43.418858
794,264,0,2023-07-13 20:17:43.497792
794,261,0,2023-07-13 20:17:43.618865
794,260,0,2023-07-13 20:17:43.698422
794,260,0,2023-07-13 20:17:43.778902
794,261,0,2023-07-13 20:17:43.874814
795,259,0,2023-07-13 20:17:43.937815
791,259,0,2023-07-13 20:17:44.033829
797,260,0,2023-07-13 20:17:44.113836
790,260,0,2023-07-13 20:17:44.202835
787,263,0,2023-07-13 20:17:44.710089
794,265,0,2023-07-13 20:17:44.741892
793,261,0,2023-07-13 20:17:44.773597
794,260,0,2023-07-13 20:17:44.806597
794,261,0,2023-07-13 20:17:44.837597
796,261,0,2023-07-13 20:17:44.869597
796,261,0,2023-07-13 20:17:44.901596
791,259,0,2023-07-13 20:17:44.947595
797,260,0,2023-07-13 20:17:44.978603
789,262,0,2023-07-13 20:17:45.009598
789,263,0,2023-07-13 20:17:45.041600
794,264,0,2023-07-13 20:17:45.073598
794,261,0,2023-07-13 20:17:45.105599
794,262,0,2023-07-13 20:17:45.137597
794,260,0,2023-07-13 20:17:45.169027
793,260,0,2023-07-13 20:17:45.201019
795,259,0,2023-07-13 20:17:45.232132
791,261,0,2023-07-13 20:17:45.277287
797,260,0,2023-07-13 20:17:45.309596
790,262,0,2023-07-13 20:17:45.340034
791,263,0,2023-07-13 20:17:45.372868
793,263,0,2023-07-13 20:17:45.401890
793,261,0,2023-07-13 20:17:45.433918
793,260,0,2023-07-13 20:17:45.464514
794,260,0,2023-07-13 20:17:45.496730
794,261,0,2023-07-13 20:17:45.527042
794,260,0,2023-07-13 20:17:45.572835
795,261,0,2023-07-13 20:17:45.605834
795,262,0,2023-07-13 20:17:45.635832
789,261,0,2023-07-13 20:17:45.666879
